x,y,z,r,g,b
-0.17441016,-0.056787133,0.3939482,173.57143,189.28572,103.42857
-0.37403232,-0.05647091,1.0526842,20.42857,84.85715,208.7143
0.0667846,-0.050256852,0.2178448,79.28571,187.28572,145.7143
-0.36922923,-0.020239176,2.077632,53.0,42.0,135.0
-0.10471432,-0.039449904,0.5753487,53.0,42.0,135.0
-0.115227945,-0.04262508,0.35696626,53.0,42.0,135.0
-0.3115246,0.0062797945,0.4450689,10.142856,147.14285,209.57143
-0.13055396,-0.025024118,0.39156994,8.57143,151.57143,208.28572
0.05964105,-0.05281532,0.20301677,110.71429,189.28572,130.57143
0.110807985,-0.020994019,0.2378942,121.57145,189.42857,125.85713
-0.079060696,-0.034083597,0.19309676,15.000001,168.0,191.57143
0.100665525,-0.024420075,0.2406848,59.857143,183.85715,157.14285
-0.3243971,0.023975905,1.0015632,14.857142,133.85715,213.42857
-0.010846378,-0.053820904,0.2843926,53.0,42.0,135.0
-0.22779061,-0.045649577,0.5690129,7.000002,156.0,207.0
0.20883118,-0.0041578175,0.44046193,21.000004,177.0,180.0
-0.31151015,-0.05750027,0.38298708,69.57145,185.57143,151.42856
0.16958417,-0.020443771,0.38819572,11.714284,142.7143,210.85715
0.18448967,-0.020334195,0.4729458,21.000004,177.0,180.0
0.12328942,-0.015154431,1.3752785,53.0,42.0,135.0
0.009803293,-0.052940648,0.20917177,53.0,42.0,135.0
-0.118432835,-0.031991575,0.44390982,53.0,42.0,135.0
-0.26652429,-0.065428875,0.8544476,53.0,42.0,135.0
0.1576024,-0.036665622,1.4826732,53.0,42.0,135.0
0.15761407,-0.026921803,0.40796122,30.714289,178.71428,174.2857
-0.31081113,-0.027933443,0.5301153,99.85716,189.14285,135.2857
0.20795654,0.013733309,0.41737396,30.714289,178.71428,174.2857
-0.2785667,-0.047873832,0.8373792,17.142857,115.57143,217.42857
-0.2887772,-0.022391303,0.50316894,15.000001,168.0,191.57143
0.12775849,-0.058236413,0.23230179,225.00002,185.00002,81.999985
0.13277392,-0.054155443,0.2329329,132.42857,189.57143,121.14286
-0.06669615,-0.0442046,0.18811582,255.0,255.0,0.0
-0.22126603,-0.05232785,0.5613073,11.000006,162.00002,199.2857
0.028485155,-0.054499675,0.5731739,53.0,42.0,135.0
0.2138496,0.013764084,0.39366332,13.000002,165.0,195.42857
0.04695455,-0.05270256,0.26254317,15.428571,96.71428,220.28572
-0.020330312,-0.052860375,0.21557258,53.0,42.0,135.0
0.029261306,-0.05375253,0.3896495,53.0,42.0,135.0
