x,y,z,r,g,b
0.14730841,0.03768899,0.32747304,83.42624,188.01639,143.27869
0.48253432,0.032222264,1.044486,53.0,42.0,135.0
-0.030628653,0.050750047,0.4377611,9.344259,149.39345,208.91803
-0.19474466,0.05404718,0.52225745,9.344259,149.39345,208.91803
0.025630666,0.011572,0.55295587,53.0,42.0,135.0
-0.8884989,0.05354968,1.1380236,53.0,42.0,135.0
0.1207716,0.025142035,0.7254325,145.06555,189.7377,115.65575
-0.006079115,0.04974446,0.47708285,12.950819,139.2295,211.86885
-0.25966036,0.048970047,0.55055124,132.60655,189.57378,121.065575
-0.06961318,0.053348973,0.22500764,11.147543,144.31146,210.39345
0.13563968,0.037565548,0.39256886,188.60654,188.03279,97.16395
0.07129208,0.04328596,0.24202652,157.5246,189.90164,110.245895
0.06804903,0.044620194,0.17916831,83.42624,188.01639,143.27869
0.3176679,0.028006833,0.5342307,188.60654,188.03279,97.16395
0.13565837,0.03733349,0.41574073,208.27867,186.39345,88.967224
0.015466275,0.04633417,0.76948726,53.0,42.0,135.0
0.1201061,-0.020592568,0.7261567,7.540983,154.47542,207.44263
-0.1149151,0.027975725,0.17696604,7.540983,154.47542,207.44263
0.02894339,0.050883494,0.22027607,8.606556,158.40984,203.90164
-0.0635361,0.053180423,0.24551919,72.27867,186.04918,149.83607
0.010275626,0.051158044,0.2748498,53.0,42.0,135.0
-0.38271055,-0.009681439,0.54809654,27.688517,178.18033,176.06558
-0.22694759,0.0497976,0.6305109,198.44263,187.21312,93.065575
-0.11632973,0.026021482,0.1732452,53.0,42.0,135.0
-0.10211386,0.053796314,0.18391608,15.934425,102.27868,219.44263
-0.0466403,0.0525624,0.23775132,38.836044,180.14754,169.50821
-0.38082638,0.056134745,0.6787635,53.0,42.0,135.0
0.025824538,0.048370738,0.49603474,157.5246,189.90164,110.245895
-0.106832504,0.054244217,0.23363465,10.901634,161.85245,199.47542
0.021797605,0.050884474,0.27355528,53.0,42.0,135.0
-0.11764243,0.024291676,0.16643411,53.0,42.0,135.0
0.0522225,0.04748941,0.48897713,95.2295,189.08197,137.29509
0.15999593,0.034606,0.5162499,83.42624,188.01639,143.27869
0.13959906,0.035667337,0.5678687,107.68851,189.2459,131.88525
-0.024057046,0.052238166,0.21388899,53.0,42.0,135.0
-0.4143627,0.06488171,1.3851146,53.0,42.0,135.0
0.21356788,0.033497345,0.44984284,157.5246,189.90164,110.245895
-0.09331979,0.053126138,0.24663773,28.081974,74.78688,191.39343
-0.07925225,0.0532294,0.28273118,53.0,42.0,135.0
-0.42368093,0.05871479,0.6873649,53.0,42.0,135.0
-0.9045528,0.06562187,1.1876286,53.0,42.0,135.0
-0.17529616,0.046577975,0.8747947,72.27867,186.04918,149.83607
0.5376104,0.030022018,0.9821298,83.42624,188.01639,143.27869
-0.061600406,0.053029425,0.1900137,9.344259,149.39345,208.91803
0.062609166,0.0447456,0.33467406,107.68851,189.2459,131.88525
0.06488385,0.04452321,0.22338301,208.27867,186.39345,88.967224
-0.047664464,0.047907863,1.0370024,53.0,42.0,135.0
-0.20410399,0.055183858,0.41277993,178.77048,188.85246,101.2623
-0.11616648,0.039688528,0.16474801,16.918032,113.09836,217.80328
0.11235269,0.04089391,0.3277398,188.60654,188.03279,97.16395
-0.023269176,0.049408723,0.5293082,53.0,42.0,135.0
0.038076468,0.050513618,0.27117825,53.0,42.0,135.0
-0.14630744,0.053873245,0.38856122,7.540983,154.47542,207.44263
-0.091795266,0.053592138,0.18864995,9.344259,149.39345,208.91803
-0.3992661,-0.001445321,0.531921,10.901634,161.85245,199.47542
-0.060987435,0.05226564,0.37396064,27.688517,178.18033,176.06558
0.02504468,0.037980843,0.54062694,13.196714,165.29507,195.0492
-0.13211188,0.0141218845,0.12956959,49.983612,182.11476,162.95082
0.113909505,0.028266499,1.077937,53.0,42.0,135.0
-0.3746203,-0.019003434,0.6219806,255.0,255.0,0.0
-0.1361236,0.010796937,0.12885638,53.0,42.0,135.0
-0.35842097,-0.00013946743,0.79891473,72.27867,186.04918,149.83607
0.12261908,0.02021987,0.72419447,198.44263,187.21312,93.065575
0.088049084,0.03351033,0.3386944,53.0,42.0,135.0
