x,y,z,r,g,b
0.0870073,-0.08193602,0.2957953,95.90909,189.09091,137.0
0.2093524,0.022936538,0.38804138,109.72725,189.27272,131.00002
-0.22545274,-0.013320326,1.5933768,197.7273,187.27272,93.36363
-0.17456341,-0.030772677,0.3528182,151.18181,189.81818,113.00001
-0.18335125,-0.060040195,0.22261895,165.00002,190.0,106.99999
-0.17466432,-0.012105866,0.36738527,95.90909,189.09091,137.0
-0.1821285,0.014046811,0.2591506,8.000001,153.18182,207.81818
-0.18393935,-0.008076947,0.2322987,70.45452,185.72726,150.9091
0.21085538,-0.026806645,0.35877794,53.0,42.0,135.0
-0.18240656,0.020800652,0.28900227,109.72725,189.27272,131.00002
-0.17194778,-0.009758677,0.5653588,237.27274,194.54546,65.63636
0.11441206,-0.08177191,0.35635355,151.18181,189.81818,113.00001
0.07540535,-0.08010924,0.4162698,9.999999,147.54546,209.45454
0.12137363,-0.08182997,0.36904737,197.7273,187.27272,93.36363
0.21203883,0.01418346,0.28240773,53.0,42.0,135.0
0.21132728,-0.028938662,0.35436022,10.818184,161.72728,199.63635
-0.0075114975,-0.08004642,0.37120888,197.7273,187.27272,93.36363
0.31015226,-0.051866073,0.79883635,70.45452,185.72726,150.9091
0.19783832,0.026056353,1.1029675,232.36365,190.72728,72.18181
0.19505209,-0.0773847,0.42215422,137.36363,189.63637,119.0
-0.17796388,0.02119841,0.34096402,45.727272,181.36363,165.45454
-0.15355922,-0.067574844,0.28961658,227.45454,186.90909,78.72728
0.21042451,-0.04875394,0.37035233,165.00002,190.0,106.99999
0.2106297,-0.04383668,0.32970774,123.54547,189.45454,124.99999
0.2124381,-0.064968325,0.27516016,18.45454,173.18181,184.9091
-0.10618947,-0.07339567,0.538731,151.18181,189.81818,113.00001
-0.028982475,-0.07887797,0.3661784,165.00002,190.0,106.99999
-0.03336158,-0.07798962,0.30924192,95.90909,189.09091,137.0
-0.11169114,-0.07462805,0.5913154,137.36363,189.63637,119.0
0.027169721,-0.07997949,0.2919494,123.54547,189.45454,124.99999
-0.17376243,-0.005859382,0.39733064,33.363647,179.18182,172.72726
-0.18469241,-0.056030598,0.2278463,249.54546,251.36363,12.727278
0.10276908,-0.08022701,0.3857036,250.63637,252.09091,10.181826
0.21240826,-0.0666372,0.3734255,123.54547,189.45454,124.99999
0.21116245,-0.03166976,0.2566909,16.909092,113.0,217.81818
0.16266517,-0.07759214,0.7062755,123.54547,189.45454,124.99999
-0.17887501,-0.023662977,0.28182164,151.18181,189.81818,113.00001
0.13354409,-0.06600304,1.1485142,13.363636,165.54546,194.72728
-0.17123802,-0.056544065,0.41458142,208.63637,186.36363,88.81818
0.005769623,-0.0802886,0.3856802,197.7273,187.27272,93.36363
-0.17720145,0.009098418,0.3306637,14.000002,136.27272,212.72728
0.08170913,-0.08026225,0.5473957,151.18181,189.81818,113.00001
0.21020676,-0.004514666,0.32004336,10.818184,161.72728,199.63635
-0.12456043,-0.07018986,0.40180632,186.81818,188.18182,97.909096
-0.17186606,-0.041367777,0.39977515,197.7273,187.27272,93.36363
-0.14682567,-0.07540067,1.475696,8.000001,153.18182,207.81818
0.20179987,0.011688908,0.9897683,17.999998,125.00001,216.0
-0.019261064,-0.079449914,0.38271976,123.54547,189.45454,124.99999
0.15555856,-0.081422545,0.33804378,186.81818,188.18182,97.909096
0.12008152,-0.080087066,0.5816326,186.81818,188.18182,97.909096
0.21138737,-0.03775271,0.31391785,95.90909,189.09091,137.0
-0.17376699,0.015760556,0.6821322,208.63637,186.36363,88.81818
-0.07592858,-0.07778114,0.28034192,208.63637,186.36363,88.81818
-0.058539014,-0.08169348,0.7032174,95.90909,189.09091,137.0
-0.17203952,-0.023810498,0.50639045,45.727272,181.36363,165.45454
0.20996267,-0.040470447,0.41943195,151.18181,189.81818,113.00001
-0.1814531,0.003491296,0.28546318,33.363647,179.18182,172.72726
0.21450584,0.0050351894,0.31876126,70.45452,185.72726,150.9091
-0.085220695,-0.073570676,0.29801536,17.999998,125.00001,216.0
0.21049774,-0.033090897,0.31771988,137.36363,189.63637,119.0
0.050060272,-0.08177273,0.34586814,151.18181,189.81818,113.00001
0.18569638,-0.00844597,1.6848925,14.000002,136.27272,212.72728
-0.1753119,-0.026974471,0.33986855,151.18181,189.81818,113.00001
-0.18369555,-0.003796569,0.22419441,53.0,42.0,135.0
0.12937312,-0.08199107,0.36692387,208.63637,186.36363,88.81818
-0.1680517,0.033614486,0.72133684,255.0,255.0,0.0
0.21520379,-0.06985423,0.25782388,123.54547,189.45454,124.99999
0.17947403,-0.080862395,0.2933588,186.81818,188.18182,97.909096
-0.10014572,-0.078397244,1.1576148,10.818184,161.72728,199.63635
0.19881015,-0.075084694,0.5810614,197.7273,187.27272,93.36363
0.2103766,-0.010824317,0.40374014,219.54546,185.45454,84.27273
-0.18301615,-0.06098533,0.22764678,175.90909,189.09091,102.454544
-0.17028219,-0.0864669,0.9089919,208.63637,186.36363,88.81818
-0.033467658,-0.07820957,0.3492935,70.45452,185.72726,150.9091
-0.17091879,-0.04275812,0.60743886,33.363647,179.18182,172.72726
-0.14844203,-0.07136357,0.5193327,151.18181,189.81818,113.00001
-0.18259993,0.016304102,0.270484,227.45454,186.90909,78.72728
-0.24220459,-0.060029626,2.0672598,17.999998,125.00001,216.0
-0.1751397,-0.024676843,0.3419669,53.0,42.0,135.0
0.061387394,-0.08149244,1.0258523,82.81819,187.90909,143.63635
0.21074134,-0.000507153,0.3330251,16.909092,113.0,217.81818
0.06578079,-0.08061748,0.32341218,18.454536,87.45456,213.18184
0.16916049,-0.0790336,0.37926182,8.272732,157.9091,204.54544
-0.17821543,-0.016737657,0.33212212,109.72725,189.27272,131.00002
-0.03402255,-0.08113165,0.5916114,95.90909,189.09091,137.0
-0.17787334,-0.0030326927,0.33424094,175.90909,189.09091,102.454544
0.21068284,0.017585348,0.35524133,8.272732,157.9091,204.54544
0.21098813,-0.04233099,0.3554055,13.363636,165.54546,194.72728
0.21097364,-0.04752762,0.42730996,10.818184,161.72728,199.63635
-0.1807427,-0.018277252,0.26933286,53.0,42.0,135.0
-0.020991495,-0.07915575,0.42248005,9.999999,147.54546,209.45454
0.1978795,-0.0022041765,1.1510231,250.90909,222.36363,34.363644
-0.18616432,-0.03172502,0.22884078,58.090897,183.54546,158.18182
0.21059628,-0.023736011,0.32043526,53.0,42.0,135.0
0.14857994,-0.0800566,0.57354003,58.090897,183.54546,158.18182
0.06532915,-0.081431456,1.1058136,95.90909,189.09091,137.0
-0.18310727,0.024317339,0.2651349,175.90909,189.09091,102.454544
0.21284926,-0.044343,0.30975008,151.18181,189.81818,113.00001
-0.031938113,-0.07783989,0.39271012,109.72725,189.27272,131.00002
0.21157332,-0.046930827,0.42158732,10.818184,161.72728,199.63635
-0.0334308,-0.0783489,0.4381911,15.909088,169.36363,189.81819
0.20581968,0.0019318726,0.7992753,123.54547,189.45454,124.99999
0.10671485,-0.08001414,0.44640505,109.72725,189.27272,131.00002
-0.13058136,-0.087621704,0.87066376,151.18181,189.81818,113.00001
0.2097649,0.018945614,0.30636087,33.363647,179.18182,172.72726
0.21159382,-0.06080309,0.2697214,109.72725,189.27272,131.00002
-0.18102863,-0.022025313,0.2643548,186.81818,188.18182,97.909096
-0.1788923,0.0075696283,0.29434696,123.54547,189.45454,124.99999
0.21040666,0.005061467,0.3203904,17.454546,119.0,216.90909
-0.2417377,-0.023867073,2.1794035,8.000001,153.18182,207.81818
-0.17382674,0.01600659,0.38931128,237.27274,194.54546,65.63636
0.21039909,-0.024529338,0.25004855,18.45454,173.18181,184.9091
-0.17303635,-0.010705879,0.5011439,219.54546,185.45454,84.27273
0.13327195,-0.07999519,0.55951077,123.54547,189.45454,124.99999
-0.086158335,-0.073506735,0.2975713,8.272732,157.9091,204.54544
-0.108200505,-0.08640064,0.9107851,109.72725,189.27272,131.00002
-0.18205374,-0.016171651,0.26767534,33.363647,179.18182,172.72726
0.07347871,-0.080146,0.41700977,9.999999,147.54546,209.45454
0.21337903,0.0008170943,0.2839969,53.0,42.0,135.0
0.13811155,-0.08281545,0.32355437,175.90909,189.09091,102.454544
0.2088785,0.020714937,0.4356778,58.090897,183.54546,158.18182
0.21043701,-0.024646832,0.33213067,53.0,42.0,135.0
