Attribute,Total Number Of Items,mean,std,min,max,median,Q1,Q3,IQR
N,483,2.018633540372671,1.1078790829304035,1,6,2.0,1.0,3.0,2.0
X,975,-3.669528,8.797037,-41.57,36.38,-3.48,-8.444999694824219,2.3049999475479126,10.749999642372131
Y,975,1.7540001,0.40069655,-0.24,3.15,1.77,1.559999942779541,1.9500000476837158,0.3900001049041748
Z,975,30.320576,11.689401,6.18,59.38,32.42,20.954999923706055,39.45000076293945,18.4950008392334
L,975,3.889353846153846,0.4144330609065674,2.23,5.24,3.87,3.6,4.18,0.5799999999999996
W,975,1.6274358974358973,0.099736009203732,1.2,2.04,1.63,1.57,1.68,0.10999999999999988
H,975,1.528851282051282,0.1412868093572657,1.26,2.48,1.5,1.44,1.6,0.16000000000000014
RY,975,0.020133333333333326,1.7058597900319543,-3.14,3.14,0.0,-1.58,1.58,3.16
NPts/Scene,483,15566.701863354037,1788.7216036311338,9971,20122,15492.0,14415.5,16664.0,2248.5
NPts/Obj,679,148.37555228276878,249.11554071884092,10,1732,48.0,21.0,164.0,143.0
NObjsRetained,679,0.9966863033873343,0.016283758753678927,0.8,1.0,1.0,1.0,1.0,0.0
NObjsLoss,679,0.003313696612665686,0.01628375875367893,0.0,0.19999999999999996,0.0,0.0,0.0,0.0
NfgPts,390,82.18461538461538,121.6246085475273,0.0,754.0,27.5,9.0,91.0,82.0
percentage FgPts,390,1.7118228574175256,2.5333182367741576,0.0,15.70506144553218,0.5727973338887732,0.18746094563632576,1.8954384503228494,1.7079775046865238
